Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ACURA,CL,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ACURA,ILX,,,,,,,,,,,,,12251,20430,17854,18531,14597,11757,11273,14685,13414,13900,6296,2,,,
ACURA,INTEGRA,,,,,,,,,,,,,,,,,,,,,,,13027,32090,24398,20178,1362
ACURA,Integra,,,,,,,,,,,,,,,,,,,,,,,13027,,,,
ACURA,MDX,,,,,,57948,54121,58606,45978,31178,47210,43270,54437,53040,65703,58208,55495,54886,51512,52019,47816,60057,46425,57599,50112,41460,2986
ACURA,NSX,,,,,,206,58,2,,,,,,,,,269,581,170,238,128,124,298,5,,,
ACURA,RDX,,,,,,,9164,23356,15873,10153,14975,15196,30527,44750,44865,51026,52361,51295,63580,62876,52785,57013,24749,39228,42988,32945,1901
ACURA,RL,,,,,,17572,11501,6262,4447,2043,2027,1096,407,39,,,,,,,,,,,,,
ACURA,RLX,,,,,,,,,,,,,,5014,3413,2195,1478,1237,1931,1019,1054,214,3,,,,
ACURA,RLX/RL,,,,,,,,,,,,,,5053,,,,,,,,,,,,,
ACURA,RSX,,,,,,20809,16996,296,1,,,,,,,,,,,,,,,,,,
ACURA,SLX,198,,,,,,,,,,,,,,,,,,,,,,,,,,
ACURA,TL,,,,,,78218,71348,58095,46475,33620,34049,31237,36783,24318,10616,88,,,,,,,,,,,
ACURA,TLX,,,,,,,,,,,,,,,19127,47080,37156,34846,30468,26548,21785,26100,11508,16731,7378,8030,368
ACURA,TSX,,,,,,34856,38035,33037,31696,28650,32076,30935,32238,17484,6287,35,4,,,,,,,,,,
ACURA,ZDX,,,,,,,,,,79,3259,1564,831,361,78,2,,,,,,,,,7391,12005,15
ALFA ROMEO,4C,,,,,,,,,,,,,,,67,663,492,406,238,145,99,78,1,,,,
ALFA ROMEO,GIULIA,,,,,,,,,,,,,,,,,36,8903,11519,8704,8216,7634,5092,,,,
ALFA ROMEO,STELVIO,,,,,,,,,,,,,,,,,,2721,12043,9444,10282,10539,7752,5338,3162,1874,
ALFA ROMEO,Stelvio,,,,,,,,,,,,,,,,,,2721,12043,9444,10271,10539,7752,,,,
ASTON MARTIN,Unclassified,,,,,,,,,,,,,,,,1020,1032,684,984,1164,1632,1350,1845,,,,
AUDI,A3,,,,,,5389,8040,6354,4759,3874,6558,6561,7205,857,22250,35984,31538,23610,18305,10418,9938,2387,11349,13626,9528,8315,
AUDI,A4,,,,,,48922,49862,45411,43344,37070,34672,35234,37247,38034,33993,29013,34687,34434,34311,26435,18342,16263,15239,13369,7036,508,
AUDI,A4 ALLROAD,,,,,4626,2429,3,,,,,,1283,4096,4686,2818,2300,3240,255,,,,,,,,
AUDI,A4 Allroad quattro,,,,,,,,,,,,,,5386,4686,2818,2300,3240,,,,,,,,,
AUDI,A5,,,,,,,,625,6282,9800,16379,15385,17270,18664,16640,12934,8354,21301,25972,23023,18827,17128,18349,23807,24636,16888,
AUDI,A6,,,,,,,,,,,,,,22428,23941,22850,18686,16304,10561,17807,10535,9544,6003,,,,
AUDI,A6 SPORTBACK E-TRON,,,,,,,,,,,,,,,,,,,,,,505,2893,2757,,399,
AUDI,A7,,,,,,,,,,,,6270,8598,8483,8133,7721,6558,4810,3852,4955,2859,3080,2240,1808,1576,1654,
AUDI,A8,,,,,,5430,5038,3826,2825,1508,1521,5700,6002,6300,5904,4990,4149,3127,1599,2963,2375,2068,1593,2259,1630,1405,
AUDI,ALLROAD QUATTRO,1033,6357,6007,5823,4626,2429,3,,,,,,,,,,,,,,,,,,,,
AUDI,E-TRON,,,,,,,,,,,,,,,,,,,,5369,7202,8278,7503,1525,,,
AUDI,E-TRON GT,,,,,,,,,,,,,,,,,,,,,,1227,2301,3202,4915,1195,
